,Unnamed: 0,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
1088,1088,3,1086.23,0.0,274.93,3258.69,824.78,811.3
1089,1089,3,699.38,0.0,207.16,2098.14,621.48,492.22
1090,1090,10,,,667.91,,,
1091,1091,4,,0.0,,,,
1092,1092,4,315.0,57.6,57.6,1260.0,230.4,257.4
1093,1093,30,1475.3,288.77,288.77,,,1186.53
1094,1094,4,582.13,0.0,131.24,2328.52,524.96,450.89
1095,1095,2,773.06,0.0,126.1,1546.12,252.21,646.96
1096,1096,10,6.54,6.0,6.0,65.35,60.0,0.54
1097,1097,7,299.8,50.94,50.94,2098.6,356.56,248.86
1098,1098,30,1102.75,0.0,751.86,,,350.89
1099,1099,3,155.0,62.95,62.95,465.0,188.86,92.05
1100,1100,2,1330.35,0.0,326.25,2660.7,652.49,1004.1
1101,1101,2,,0.0,,,,
1102,1102,10,825.0,332.9,332.9,8250.0,,492.1
1103,1103,1,1283.8,0.0,131.36,1283.8,131.36,1152.44
1104,1104,4,,0.0,,,,
1105,1105,2,581.46,0.0,144.87,1162.92,289.73,436.59
1106,1106,2,555.06,0.0,96.17,1110.12,192.34,458.89
1107,1107,8,,,800.35,,,
1108,1108,1,1370.74,0.0,328.39,1370.74,328.39,1042.35
1109,1109,1,1018.0,0.0,273.77,1018.0,273.77,744.23
1110,1110,2,817.79,0.0,133.04,1635.58,266.08,684.75
1111,1111,4,530.64,0.0,325.23,2122.56,1300.94,205.41
1112,1112,1,732.0,222.0,222.0,732.0,222.0,510.0
1113,1113,1,210.0,90.91,90.91,210.0,90.91,119.09
1114,1114,1,305.5,113.59,113.59,305.5,113.59,191.91
1115,1115,4,485.0,144.4,144.4,1940.0,577.6,340.6
